rg	291	1021	 sorgende 	 doorgaens 	 naergelaten 
lu	237	1020	 fluytschip 	 lucht 	 lust 
po	329	1009	 portugiesen 	 voorspoedige 	 indrapoura 
rm	224	995	 vermaerde 	 firmalie 	 reformatie 
dr	250	994	 redresseren 	 indrapoura 	 ordre 
mb	203	984	 lamboe 	 combineren 	 ambassaten 
pp	171	979	 oppercoopman 	 apprehenlie 	 apparent 
dt	202	970	 gelandt 	 voorstadt 	 landt 
ru	256	970	 vrunischap 	 gecorumpeert 	 barus 
rr	203	966	 arriveren 	 herrewaerts 	 grraans 
ut	243	963	 reputatie 	 hout 	 resolutie 
x 	77	959	 conincx 	 sulcx 	 zulcx 
sl	387	958	 conquesle 	 hooghslen 	 slaet 
vr	228	949	 vriendelyck 	 vreese 	 vrunischap 
ay	172	946	 sayer 	 may 	 thayl 
uw	250	892	 wantrouwige 	 mistrouwen 	 ontrouw 
pi	182	889	 pistoolschoot 	 geconcipieerde 	 concpiesten 
u 	229	877	 ticou 	 nu 	 myneu 
yl	228	842	 sylieden 	 d*eylanden 	 gehoorsaemheyl 
gi	253	842	 dancksegginge 	 portugiesen 	 previlegien 
eh	215	842	 opgehouden 	 gehoorsaemheyl 	 apprehenlie 
 3	131	829	 321 	 3 	 30 
hs	184	813	 genoechsame 	 hooghslen 	 chryghsmacht 
 4	122	795	 4 	 4600 	 40 
iv	112	790	 arriveren 	 sanivoort 	 prerogaliven 
ip	145	781	 principalen 	 fluytschip 	 geconcipieerde 
hr	122	780	 schrift 	 schriftelycke 	 chryghsmacht 
kt	156	771	 gemaeckte 	 vuylesieckte 	 verryckt 
ce	236	764	 princen 	 gereduceerl 	 successive 
sp	285	757	 despecheren 	 speculatien 	 voorspoedige 
cx	68	741	 conincx 	 sulcx 	 zulcx 
4 	136	741	 4 	 254 	 24 
tw	133	740	 antwoort 	 facetwerck 	 tweede 
af	329	738	 affcortinge 	 geaffligeert 	 affscheyt 
j 	203	735	 27j 	 ivj 	 vj 
5 	96	728	 1125 	 5 	 95 
av	148	711	 faveur 	 javaense 	 travaden 
bl	164	709	 verbleven 	 blyft 	 blyvende 
 q	121	701	 queda 	 quamen 	 queen 
00	105	694	 600 	 200 	 500 
og	187	686	 hoogh 	 aengetogen 	 hooghslen 
jo	115	680	 johor 	 johoriten 	 johorit 
id	169	677	 middel 	 bemiddelen 	 subsidien 
je	169	675	 bootjen 	 sluckjens 	 stuckjens 
pl	151	674	 gecapleerl 	 vreempl 	 gepleecht 
cc	149	661	 malacca 	 malaccas 	 accommodabelsle 
 k	176	660	 krack 	 krygen 	 kaertekoe 
uv	52	657	 gouverneurs 	 gouverneur 	 jangounauvoan 
ue	301	656	 queda 	 mueren 	 conquesle 
rw	141	646	 verwachten 	 verwildert 	 verwart 
10	83	637	 10 	 10:8 	 100 
ct	172	627	 protecteeren 	 directie 	 instructie 
 5	88	627	 5 	 50 	 500 
fe	205	607	 dieffelyck 	 defentie 	 infesteren 
hy	72	598	 hy 	 parthye 	 schynsel 
bi	167	592	 eerbiedigh 	 combineren 	 binnen 
8 	110	590	 75648 	 10:8 	 8 
ug	112	581	 portugiesen 	 rugge 	 portugees 
6 	82	580	 79756 	 6 	 106 
rv	147	579	 overvloet 	 overvloedigh 	 ondervraecht 
3 	71	578	 3 	 133 	 1263 
im	207	577	 opclimmende 	 immers 	 panglima 
ir	218	574	 oirsaecke 	 firmalie 	 comptoirs 
rh	171	564	 overhandight 	 opperhooft 	 metterhaest 
sg	46	564	 mitsgaders 	 alitsgaders 	 insgelycx 
au	223	558	 augusto 	 augusly 	 augusty 
my	41	555	 myn 	 myne 	 my 
 z	103	552	 zyn 	 zynde 	 zyne 
cr	190	543	 gecregen 	 nacr 	 croone 
 6	77	530	 60 	 6 	 600 
lg	83	528	 volgende 	 gevolge 	 aenvolgende 
 (	170	520	 (als 	 (by 	 (tot 
1 	93	519	 321 	 1 	 21 
pm	30	515	 oppercoopman 	 coopman 	 coopmanschappen 
du	135	492	 gereduceerl 	 duysent 	 duystere 
ya	93	481	 vyanden 	 orangkaya 	 vyant 
yg	103	479	 vaertuyghen 	 weygeringh 	 krygen 
i 	236	478	 mei 	 ffi 	 ambassadeui 
fl	195	475	 fluytschip 	 belooflde 	 offle 
tc	98	469	 westcust 	 atchin 	 westcusts 
 8	64	457	 8 	 80 	 8598 
cu	151	455	 westcust 	 secunda 	 excuseert 
pt	126	453	 comptoirs 	 september 	 coniptoir 
wy	103	447	 wy 	 wyderingh 	 wyders 
20	62	439	 20sturx 	 200 	 209 
ei	208	435	 mei 	 vermeit 	 eiide 
ek	180	433	 treek 	 onbekenl 	 kaertekoe 
7 	73	430	 7 	 252627 	 17 
yv	71	426	 blyvende 	 suyver 	 schryven 
gu	108	421	 gunt 	 gunstigh 	 augusto 
gg	76	420	 dancksegginge 	 rugge 	 seggen 
ph	83	405	 solpher 	 campher 	 stephanus 
rb	150	398	 eerbiedigh 	 verbleven 	 verbont 
 y	69	397	 yder 	 ysere 	 yser 
ab	183	395	 accommodabelsle 	 vagabonden 	 fabriceren 
io	157	391	 verliondt 	 /aiostroiia 	 cionincx 
bu	115	391	 buyten 	 forcenburgh 	 buytenste 
nu	90	389	 stephanus 	 continueel 	 nu 
