marckt	21
mogelyck	21
naeste	21
prince	21
rede	21
regen	21
rompen	21
schotels	21
schuldich	21
seyde	21
slagh	21
viel	21
voornoemt	21
wapenen	21
Agra	20
Coninek	20
Coningen	20
Engelant	20
Grol	20
Hselve	20
Maen	20
Manipe	20
Menie	20
Molucco	20
Naer	20
Neederlanders	20
Neederlants	20
Portugael	20
Snouck	20
Spaense	20
Tarnatanen	20
Wawany	20
Zeehaen	20
achtinge	20
beneffens	20
bieden	20
cassa	20
cregen	20
dagelycks	20
diamant	20
dick	20
gecommitteert	20
gedane	20
geeft	20
gelecht	20
genoomen	20
gesteecken	20
groole	20
haven	20
incoops	20
juweelen	20
lanck	20
lynwaet	20
mast	20
minste	20
ongeluck	20
overleeden	20
ront	20
schuit	20
sende	20
straet	20
tydelyck	20
vendrich	20
verversinge	20
*s	19
Calff	19
Gelyck	19
Goes	19
Heden	19
Heer	19
Hollandia	19
Indrapoura	19
Maer	19
Neederlantse	19
Negumbo	19
Opra	19
Rama	19
Rato	19
Raya	19
Son	19
Sunda	19
Wingerla	19
acte	19
beeft	19
besich	19
beste	19
cabessa	19
custe	19
dagelyckx	19
even	19
geschickt	19
geseylt	19
geval	19
gommelac	19
ist	19
leet	19
legen	19
lyt	19
maniere	19
mousson	19
onlust	19
persoenen	19
rechte	19
rycx	19
schootels	19
seeckere	19
sitten	19
substantie	19
tyden	19
vaertuych	19
velt	19
voornaemste	19
vordere	19
vragen	19
wierdt	19
woorden	19
A	18
Amadabat	18
Atchyn	18
Biana	18
Bonoa	18
Cackialj	18
Chineese	18
Gasteel	18
Gracht	18
Hadden	18
Iquan	18
Madrespatnam	18
Minne	18
Moluccos	18
Nae	18
Queda	18
Sedert	18
Succadana	18
Willem	18
^^	18
advis	18
anachoda	18
champans	18
commissie	18
daerenboven	18
eysschen	18
gebroocken	18
geholpen	18
gescheyden	18
haren	18
hoochsten	18
inwoonders	18
lamboes	18
leeger	18
leert	18
liever	18
memorie	18
mont	18
noemen	18
oudt	18
punt	18
sat	18
snuysteringh	18
sonderlingh	18
strecken	18
toevoer	18
verboden	18
verseeckert	18
volght	18
waerheyt	18
werelt	18
wille	18
Almachtich	17
Caen	17
Cambodja	17
Columbo	17
Commissaris	17
Dammack	17
Expeditie	17
Gonincx	17
Hollants	17
IS	17
Limoury	17
Lis	17
Schouten	17
Spaengiaert	17
Spaens	17
Volgens	17
baftas	17
bare	17
bequame	17
bier	17
blancke	17
bocht	17
brieffken	17
china	17
cleynicheden	17
d*selve	17
dito	17
fluweel	17
gedacht	17
gelesen	17
geroepen	17
geschooten	17
gesicht	17
geslooten	17
geve	17
geworpen	17
hooge	17
huyse	17
immers	17
laetste	17
laken	17
loock	17
matroosen	17
moeyte	17
mouson	17
natiën	17
ongelden	17
onthouden	17
ontset	17
oordeel	17
papier	17
particulier	17
potten	17
provisien	17
rapport	17
ringen	17
segge	17
seven	17
soldaet	17
straffen	17
tin	17
tocht	17
tollen	17
verclaert	17
vereeren	17
verlreck	17
veroveringh	17
voick	17
wasch	17
